rating,ulasan
bintang 5,Product sampai dengan aman tanpa cacat sedikitpun. Pernah cobain punya temen series petal ini ternyata cocok di aku dan akhirnya memutuskan untuk beli pas banget lagi dap...
bintang 5,"toko resmi, barang original, dan sesuai. puasss... terima kasih."
bintang 5,"nyobain punya temen enak, ringan makanya pengen punya sendiri. semoga cocok dan pas dah dgn seri yg ini"
bintang 5,tipe kulitku normal under tone kulitku warm. produk sesuai pesanan. packing amat sangat aman.
bintang 5,"Barang sudah diterima, produk bagus, pengiriman cepat, packing bagus pakai bublewrap dan kardus"
bintang 5,"Original, sesuai dgn warna kulit saya menutup dengan baik. ga perlu lagi foundation karena sdh lengkap. keren termurah. pas banget dipasang ke case compact yg lama..love..."
bintang 4,Pengiriman cepat dan packaging sangat aman. Cushion nya juga bagus.  Overall memuaskan
bintang 5,"demi apapun bagus banget, pake dari pagi sampe malem, ga kusem malah tambah nyatu di kulit + bikin kulit glowing dan kulit keliatan sehat. btw ini aku repurchase saking c..."
bintang 5,tipe kulitku berminyak tipe kulitku kering
bintang 5,"Cepet banget sampenya, packaging tebel safety pdhl barangnya kecil mungil thanks loh! Produk ori. Aku beli shade petal cocok banget di muka aku yg kebetulan bikin kulit n..."
bintang 5,"hasilnya sangat memuaskan, ga lengket di kulit dan sangat ringan❤️"
bintang 5,"Warnya sesuai dengan warna kulit saya, tekturnya menyatu dengan kulit dan lembut. Sangat suka dengan produknya. Terimakasih"
bintang 5,"Pengirimannya cepet banget,package nya juga aman banget,tekstur cushionnya gampang di bland.sesuai sama pesanan.luv pokoknya😍💖💋💋💋💋"
bintang 5,"warna sesuai, pengemasan dan pengiriman cepat, barang datang dengan baik dan sesuai
semoga cocok, terima kasih kak🙏🏻"
bintang 5,"coverage tinggi, shadenya banyak, tesksturnya enak dipakai, tahan lama"
bintang 5,"barang original, harga affordable, pengiriman cepat"
bintang 5,"barang original, harga affordable, pengiriman cepat"
bintang 5,"barang original, harga affordable, pengiriman cepat"
bintang 5,"Perlindungan ganda dari sinar matahari dengan physicochemically combined sunscreen, mengandung SPF 35 PA++++ untuk melindungi kulit dari bahaya sinar UV. Rubycell Puff Te..."
bintang 4,"harga terjangkau, kualitas lumayan oke, warna cocok dikulit, semoga tdk iritasi"
bintang 5,Product sampai dengan aman tanpa cacat sedikitpun. Pernah cobain punya temen series petal ini ternyata cocok di aku dan akhirnya memutuskan untuk beli pas banget lagi dap...
bintang 5,"toko resmi, barang original, dan sesuai. puasss... terima kasih."
bintang 5,"nyobain punya temen enak, ringan makanya pengen punya sendiri. semoga cocok dan pas dah dgn seri yg ini"
bintang 5,tipe kulitku normal under tone kulitku warm. produk sesuai pesanan. packing amat sangat aman.
bintang 5,"Barang sudah diterima, produk bagus, pengiriman cepat, packing bagus pakai bublewrap dan kardus"
bintang 5,"barang original, harga affordable, pengiriman cepat"
bintang 5,"barang original, harga affordable, pengiriman cepat"
bintang 5,"barang original, harga affordable, pengiriman cepat"
bintang 5,"Perlindungan ganda dari sinar matahari dengan physicochemically combined sunscreen, mengandung SPF 35 PA++++ untuk melindungi kulit dari bahaya sinar UV. Rubycell Puff Te..."
bintang 4,"harga terjangkau, kualitas lumayan oke, warna cocok dikulit, semoga tdk iritasi"
bintang 5,Product sampai dengan aman tanpa cacat sedikitpun. Pernah cobain punya temen series petal ini ternyata cocok di aku dan akhirnya memutuskan untuk beli pas banget lagi dap...
bintang 5,"toko resmi, barang original, dan sesuai. puasss... terima kasih."
bintang 5,"nyobain punya temen enak, ringan makanya pengen punya sendiri. semoga cocok dan pas dah dgn seri yg ini"
bintang 5,tipe kulitku normal under tone kulitku warm. produk sesuai pesanan. packing amat sangat aman.
bintang 5,"Barang sudah diterima, produk bagus, pengiriman cepat, packing bagus pakai bublewrap dan kardus"
bintang 5,"so happyyyy dapet diharga 88k pas 7.7 no refil barang ori pengiriman cepat, packingnya rapi tidak mengecewakan 💗💗"
bintang 5,"ringan, coverage, bagus, pengirimannya cepat"
bintang 5,baru mau coba cushionnya semoga sesuai dan cocok dengan kulit aku.. thankyou seller sukses selalu usahanya dan jadi berkah lancar.. keren banget packagingnya walaupun bel...
bintang 5,Belum tau awet atau ngga. Semoga awet dan cocok buat aku. Untuk shade beige ternyata masih keputihan. Harus nya ambil tergelap nya nomor 5. okelah kalo bagus beli refilln...
bintang 5,"very fast respon, barang datang sesuai dengan pesanan, packing mudah2n aman karena pake bubble wrap juga"
bintang 5,Suka banget dengan penampilan nya yang terkesan mewah. Pengemasan baik dan produk tiba dengan selamat.
bintang 4,"belum dibuka soalnya masih punya, sebelumnya dibeliin yang ivory, tapi terlalu cerah, mudah mudahan ini cocook"
bintang 5,packing aman walaupun 1 barang..dpet d harga 95 lg promo tokped udah lama incer ini dipakainy awet seharian utk kulit muka  kombinasi ak..makasih
bintang 5,Barang sampai dengan selamat. tidak ada yang cacat. produk andalan untuk makeup sehari-hari dikondisi luar dan terik matahari
bintang 5,"Baguusss, mayan nampol hasilnya di kulit coveragenya oke :)"
bintang 5,"so happyyyy dapet diharga 88k pas 7.7 no refil barang ori pengiriman cepat, packingnya rapi tidak mengecewakan 💗💗"
bintang 5,"ringan, coverage, bagus, pengirimannya cepat"
